iter	Passed	Remaining
1364	10620	8830
1365	10627	8822
1366	10634	8814
1367	10641	8806
1368	10648	8797
1369	10656	8789
1370	10663	8781
1371	10670	8773
1372	10678	8765
1373	10685	8756
1374	10692	8748
1375	10700	8740
1376	10707	8732
1377	10714	8724
1378	10723	8717
1379	10730	8708
1380	10738	8700
1381	10745	8692
1382	10753	8684
1383	10760	8676
1384	10767	8668
1385	10775	8660
1386	10782	8652
1387	10789	8644
1388	10797	8636
1389	10804	8628
1390	10812	8620
1391	10819	8611
1392	10826	8603
1393	10833	8595
1394	10841	8587
1395	10848	8579
1396	10855	8571
1397	10863	8563
1398	10870	8555
1399	10877	8546
1400	10884	8538
1401	10892	8530
1402	10899	8521
1403	10906	8513
1404	10913	8505
1405	10920	8497
1406	10927	8488
1407	10934	8480
1408	10942	8472
1409	10949	8464
1410	10956	8456
1411	10964	8448
1412	10971	8440
1413	10978	8432
1414	10986	8424
1415	10993	8415
1416	11000	8407
1417	11007	8399
1418	11014	8391
1419	11022	8383
1420	11030	8375
1421	11037	8367
1422	11045	8359
1423	11052	8351
1424	11061	8344
1425	11070	8337
1426	11078	8330
1427	11087	8323
1428	11095	8315
1429	11103	8308
1430	11112	8301
1431	11120	8293
1432	11127	8285
1433	11136	8278
1434	11144	8271
1435	11152	8263
1436	11160	8255
1437	11168	8248
1438	11177	8241
1439	11185	8233
1440	11193	8226
1441	11201	8218
1442	11209	8211
1443	11217	8203
1444	11226	8196
1445	11234	8189
1446	11242	8181
1447	11250	8173
1448	11258	8165
1449	11265	8157
1450	11272	8149
1451	11280	8141
1452	11287	8133
1453	11294	8125
1454	11302	8117
1455	11309	8109
1456	11317	8101
1457	11324	8093
1458	11331	8085
1459	11339	8077
1460	11347	8069
1461	11354	8061
1462	11362	8053
1463	11369	8045
1464	11376	8037
1465	11384	8029
1466	11391	8021
1467	11399	8013
1468	11406	8005
1469	11414	7997
1470	11421	7989
1471	11428	7981
1472	11435	7973
1473	11443	7965
1474	11450	7956
1475	11457	7948
1476	11465	7940
1477	11472	7933
1478	11480	7925
1479	11487	7917
1480	11494	7908
1481	11502	7901
1482	11510	7893
1483	11517	7885
1484	11525	7877
1485	11533	7869
1486	11540	7861
1487	11548	7854
1488	11556	7846
1489	11563	7838
1490	11571	7830
1491	11578	7822
1492	11586	7814
1493	11593	7806
1494	11601	7798
1495	11609	7791
1496	11617	7783
1497	11625	7775
1498	11632	7768
1499	11640	7760
1500	11648	7752
1501	11655	7744
1502	11664	7737
1503	11672	7729
1504	11680	7722
1505	11688	7714
1506	11696	7707
1507	11704	7699
1508	11712	7692
1509	11720	7684
1510	11728	7676
1511	11737	7669
1512	11745	7662
1513	11753	7654
1514	11761	7647
1515	11770	7639
1516	11777	7631
1517	11785	7624
1518	11793	7616
1519	11801	7608
1520	11808	7600
1521	11816	7592
1522	11823	7584
1523	11831	7577
1524	11838	7569
1525	11847	7561
1526	11855	7554
1527	11863	7546
1528	11870	7538
1529	11877	7530
1530	11885	7522
1531	11893	7514
1532	11900	7506
1533	11908	7498
1534	11915	7491
1535	11923	7483
1536	11930	7475
1537	11938	7467
1538	11946	7459
1539	11954	7451
1540	11961	7444
1541	11969	7436
1542	11976	7428
1543	11984	7420
1544	11991	7412
1545	11999	7404
1546	12006	7396
1547	12015	7389
1548	12022	7381
1549	12030	7373
1550	12037	7365
1551	12045	7357
1552	12052	7349
1553	12059	7341
1554	12067	7333
1555	12074	7325
1556	12082	7317
1557	12090	7310
1558	12098	7302
1559	12106	7295
